#,model,year,region,reasoning,provider,api_model_id,temperature_effective,n_collected,parse_success_rate,mean_latency_ms,total_tokens,first_ts,last_ts,status
20,GPT-5-Mini,2025,Western,Yes,openai,gpt-5-mini-2025-08-07,1.0,10,100.0,9660,8824,2026-07-14T15:38:56.804Z,2026-07-14T15:55:39.873Z,live (reasoning: may ignore temp)
21,o3,2025,Western,Yes,openai,o3-2025-04-16,1.0,10,100.0,3510,3671,2026-07-14T15:39:08.599Z,2026-07-14T15:56:14.239Z,live (reasoning: ignores temperature)
22,Claude Opus 4.7,2025,Western,Yes,anthropic,claude-opus-4-7,1.0,10,100.0,3090,2542,2026-07-14T15:39:12.390Z,2026-07-14T15:56:47.439Z,live
23,Grok 4,2025,Western,Yes,xai,grok-4.3,1.0,10,100.0,5626,10474,2026-07-14T15:39:15.294Z,2026-07-14T15:57:38.887Z,live (accepted sub for grok-4)
24,DeepSeek R2,2025,Eastern,Yes,qwen,deepseek-v3.2,1.0,10,100.0,2248,1637,2026-07-14T15:39:21.975Z,2026-07-14T15:58:03.311Z,live via DashScope (accepted sub for R2)
25,Qwen3.7 Max,2025,Eastern,Yes,qwen,qwen3.7-max,1.0,6,100.0,44628,14716,2026-07-14T15:39:24.279Z,2026-07-14T16:21:51.970Z,live
26,GPT-5.4,2025,Western,No,openai,gpt-5.4-2026-03-05,1.0,10,100.0,2486,1661,2026-07-14T15:40:06.005Z,2026-07-14T16:22:33.954Z,live
27,GLM-5,2025,Eastern,No,qwen,glm-5,1.0,1,100.0,51373,2131,2026-07-14T15:40:07.837Z,2026-07-14T15:40:07.837Z,live via DashScope (also TokenHub)
28,Claude Sonnet 4,2025,Western,No,anthropic,claude-sonnet-4-5-20250929,0.5,1,100.0,1948,183,2026-07-14T15:40:59.574Z,2026-07-14T15:40:59.574Z,live (accepted sub for sonnet-4.0)
29,GPT-5.6 Sol,2026,Western,Yes,openai,gpt-5.6-sol,1.0,1,100.0,6124,244,2026-07-14T15:41:01.838Z,2026-07-14T15:41:01.838Z,live
30,GPT-5.5,2026,Western,Yes,openai,gpt-5.5-2026-04-23,1.0,1,100.0,4481,268,2026-07-14T15:41:08.274Z,2026-07-14T15:41:08.274Z,live
31,Claude Fable 5,2026,Western,Yes,anthropic,claude-fable-5,1.0,1,100.0,5757,296,2026-07-14T15:41:13.065Z,2026-07-14T15:41:13.065Z,live
32,Claude Sonnet 5,2026,Western,No,anthropic,claude-sonnet-5,1.0,1,100.0,3439,258,2026-07-14T15:41:19.135Z,2026-07-14T15:41:19.135Z,live
33,Claude Opus 4.8,2026,Western,Yes,anthropic,claude-opus-4-8,1.0,1,100.0,3336,242,2026-07-14T15:41:22.883Z,2026-07-14T15:41:22.883Z,live
34,Grok 4.5,2026,Western,Yes,xai,grok-4.5,1.0,1,100.0,5885,1044,2026-07-14T15:41:26.549Z,2026-07-14T15:41:26.549Z,live
35,DeepSeek V4 Pro,2026,Eastern,Yes,deepseek,deepseek-v4-pro,1.0,1,100.0,10607,648,2026-07-14T15:41:32.746Z,2026-07-14T15:41:32.746Z,live
36,Qwen4 Max,2026,Eastern,Yes,qwen,qwen3-max-2026-01-23,1.0,1,100.0,2891,167,2026-07-14T15:41:43.664Z,2026-07-14T15:41:43.664Z,live (accepted sub; real 2026 Qwen)
37,Kimi K2.6,2026,Eastern,Yes,qwen,kimi-k2.6,1.0,1,100.0,2743,174,2026-07-14T15:41:46.865Z,2026-07-14T15:41:46.865Z,live via DashScope (temp 0.5 OK here?) - verify
38,Hunyuan Hy3,2026,Eastern,No,hunyuan,hy3,1.0,1,100.0,1882,173,2026-07-14T15:41:49.918Z,2026-07-14T15:41:49.918Z,live via TokenHub
39,GLM-5.1,2026,Eastern,No,qwen,glm-5.1,1.0,1,100.0,27999,1408,2026-07-14T15:41:52.112Z,2026-07-14T15:41:52.112Z,live (added)
40,GLM-5.2,2026,Eastern,No,qwen,glm-5.2,1.0,1,100.0,31628,1622,2026-07-14T15:42:20.421Z,2026-07-14T15:42:20.421Z,live (added)
41,MiniMax-M3,2026,Eastern,Yes,qwen,MiniMax/MiniMax-M3,,0,0,,0,,,needs-activation (DashScope MiniMax not enabled)
42,MiniMax-M2.5,2025,Eastern,Yes,qwen,MiniMax/MiniMax-M2.5,,0,0,,0,,,needs-activation (DashScope MiniMax not enabled)
43,DeepSeek V3.2,2025,Eastern,No,qwen,deepseek-v3.2,1.0,1,100.0,2339,164,2026-07-14T15:42:52.358Z,2026-07-14T15:42:52.358Z,live (added)
44,DeepSeek V3.1,2025,Eastern,No,qwen,deepseek-v3.1,1.0,1,100.0,1650,164,2026-07-14T15:42:55.008Z,2026-07-14T15:42:55.008Z,live (added)
45,Kimi K2.5,2025,Eastern,No,qwen,kimi-k2.5,1.0,1,100.0,2444,173,2026-07-14T15:42:56.969Z,2026-07-14T15:42:56.969Z,live (added)
46,Qwen3-235B,2025,Eastern,No,qwen,qwen3-235b-a22b-instruct-2507,1.0,1,100.0,1294,167,2026-07-14T15:42:59.724Z,2026-07-14T15:42:59.724Z,live (added)
47,Qwen-Plus,2025,Eastern,No,qwen,qwen-plus,1.0,1,100.0,2912,167,2026-07-14T15:43:01.329Z,2026-07-14T15:43:01.329Z,live (added)
48,GLM-4.7,2025,Eastern,No,qwen,glm-4.7,1.0,1,100.0,20734,1318,2026-07-14T15:43:04.551Z,2026-07-14T15:43:04.551Z,live (added)
49,o4-mini,2025,Western,Yes,openai,o4-mini,1.0,1,100.0,3448,503,2026-07-14T15:43:25.595Z,2026-07-14T15:43:25.595Z,live (added)
50,GPT-4.1,2025,Western,No,openai,gpt-4.1,1.0,1,100.0,816,164,2026-07-14T15:43:29.354Z,2026-07-14T15:43:29.354Z,live (added)
