task,model_name,model_id,provider,rep,temperature_std,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,prompt,response_clean,ts_utc
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,14,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, thunder, marble, democracy, shadow, sandwich, melody, glacier, jealousy",2026-08-17T10:20:26.109968+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,15,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, thunder, sandwich, algorithm, shadow, marble, whisper, gravity",2026-08-17T10:20:27.194795+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,16,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, thunder, sandwich, algorithm, shadow, marble, whisper, gravity",2026-08-17T10:20:28.241546+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,17,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, thunder, sandwich, melody, shadow, marble, courage, whirlpool",2026-08-17T10:20:29.478589+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,18,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, symphony, glacier, butterfly, democracy, thunder, marble, algorithm, tornado, manuscript",2026-08-17T10:20:30.577422+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,19,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, thunder, sandwich, shadow, courage, ocean, marble, laughter",2026-08-17T10:20:31.636861+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,20,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, courage, glacier, butterfly, democracy, thunder, sandwich, shadow, algorithm",2026-08-17T10:20:32.764553+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,21,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, democracy, sandwich, shadow, courage, ocean, butterfly, brick, laughter",2026-08-17T10:20:33.786751+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,22,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, symphony, democracy, glacier, butterfly, thunder, manuscript, carousel, gravity, nostalgia",2026-08-17T10:20:34.859732+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,23,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, thunder, sandwich, shadow, melody, crystal, anchor, whisper",2026-08-17T10:20:36.088757+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,24,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, justice, volcano, butterfly, sandwich, shadow, courage, ocean, algorithm",2026-08-17T10:20:37.178015+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,25,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, symphony, glacier, butterfly, democracy, volcano, manuscript, algorithm, hurricane, monastery",2026-08-17T10:20:38.293748+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,26,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, sandwich, thunder, fabric, algorithm, volcano, whisper, gravity",2026-08-17T10:20:39.278267+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,27,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, courage, glacier, butterfly, manuscript, thunder, algorithm, velvet, abyss",2026-08-17T10:20:40.342285+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,28,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, sandwich, thunder, algorithm, shadow, glacier, melody, friction",2026-08-17T10:20:41.393605+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,29,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, democracy, glacier, sandwich, shadow, courage, tornado, manuscript, enzyme",2026-08-17T10:20:42.486629+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,30,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, courage, glacier, butterfly, manuscript, thunder, algorithm, marble, whisper",2026-08-17T10:20:43.510546+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,31,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, courage, volcano, butterfly, democracy, sandwich, shadow, algorithm, ocean",2026-08-17T10:20:44.643418+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,32,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, thunder, sandwich, shadow, melody, glacier, manuscript, tornado",2026-08-17T10:20:45.769450+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,33,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, sandwich, thunder, library, shadow, molecule, melody, glacier",2026-08-17T10:20:46.894864+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,34,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, sandwich, thunder, manuscript, glacier, melody, sponge, gravity",2026-08-17T10:20:47.927124+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,35,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, democracy, sandwich, shadow, melody, glacier, anxiety, tornado, manuscript, enzyme",2026-08-17T10:20:48.995771+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,36,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, volcano, symphony, shadow, marble, algorithm, tornado, manuscript",2026-08-17T10:20:49.980261+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,37,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, courage, tornado, marble, democracy, shadow, sandwich, algorithm, feather",2026-08-17T10:20:51.094380+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,38,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, thunder, sandwich, shadow, courage, volcano, whisper, melody",2026-08-17T10:20:52.329235+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,39,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, thunder, sandwich, shadow, melody, glacier, whisper, anchor",2026-08-17T10:20:53.946735+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,40,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, melody, courage, volcano, butterfly, algorithm, shadow, marble, whisper, gravity",2026-08-17T10:20:55.189305+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,41,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, justice, thunder, sandwich, shadow, melody, crystal, volcano, whisper",2026-08-17T10:20:56.619541+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,42,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, volcano, melody, shadow, marble, hurricane, whisper, galaxy",2026-08-17T10:20:57.853350+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,43,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, thunder, sandwich, shadow, courage, ocean, marble, melody",2026-08-17T10:20:58.943307+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,44,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, symphony, glacier, democracy, butterfly, thunder, marble, algorithm, shadow, rebellion",2026-08-17T10:20:59.988896+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,45,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, symphony, butterfly, volcano, democracy, sandwich, shadow, algorithm, tornado, manuscript",2026-08-17T10:21:01.044570+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,46,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, sandwich, thunder, fabric, algorithm, volcano, whisper, gravity",2026-08-17T10:21:02.087544+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,47,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, ocean, sandwich, melody, shadow, friction, calendar, tornado",2026-08-17T10:21:03.280360+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,48,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, courage, thunder, sandwich, melody, shadow, marble, whisper, gravity",2026-08-17T10:21:04.402843+00:00
DAT,Claude Haiku 4.5,claude-haiku-4-5-20251001,anthropic,49,0.5,,,,,,,,,,,"Generate 10 nouns that are as different from each other as possible using the instructions below:
1. Generate only single-word nouns in English.
2. Generate only nouns such as things, objects and concepts.
3. Do not use proper nouns such as people or places.
4. Do not use specialized vocabulary or technical terms.
5. Return response as a string with each noun separated by commas: ""noun1, noun2, … noun10"".
6. Do not return anything else other than the comma-separated string of nouns.","telescope, butterfly, democracy, thunder, sandwich, shadow, melody, friction, glacier, nostalgia",2026-08-17T10:21:05.612883+00:00
